#i	j	k
1	57	5
1	58	3
1	58	4
1	58	5
1	58	6
1	59	2
1	59	3
1	59	4
1	59	5
1	59	6
1	59	7
1	60	4
1	60	5
1	60	6
1	60	7
1	60	8
1	61	4
1	61	5
1	61	6
1	61	7
1	61	8
1	61	9
1	61	10
1	62	4
1	62	5
1	62	6
1	62	7
1	62	8
1	62	9
1	62	10
1	62	11
1	63	4
2	57	3
2	57	4
2	57	5
2	57	6
2	58	3
2	58	4
2	58	5
2	58	6
2	58	7
2	59	3
2	59	4
2	59	5
2	59	6
2	59	7
2	59	8
2	60	3
2	60	4
2	60	5
2	60	6
2	60	7
2	60	8
2	60	9
2	60	10
2	61	3
2	61	4
2	61	5
2	61	6
2	61	7
2	61	8
2	61	9
2	61	10
2	61	11
2	61	12
2	62	3
2	62	4
2	62	5
2	62	6
2	62	7
2	62	8
2	62	9
2	62	10
2	62	11
2	62	12
2	63	7
2	63	8
2	63	9
2	63	10
2	63	11
3	0	5
3	0	6
3	0	7
3	0	8
3	0	9
3	0	10
3	0	11
3	0	12
3	1	5
3	1	6
3	1	7
3	1	8
3	1	9
3	1	10
3	1	11
3	2	6
3	56	5
3	56	6
3	57	4
3	57	5
3	57	6
3	57	7
3	58	4
3	58	5
3	58	6
3	58	7
3	58	8
3	59	4
3	59	5
3	59	6
3	59	7
3	59	8
3	59	9
3	59	10
3	60	4
3	60	5
3	60	6
3	60	7
3	60	8
3	60	9
3	60	10
3	60	11
3	60	12
3	61	4
3	61	5
3	61	6
3	61	7
3	61	8
3	61	9
3	61	10
3	61	11
3	61	12
3	62	4
3	62	5
3	62	6
3	62	7
3	62	8
3	62	9
3	62	10
3	62	11
3	62	12
3	63	6
3	63	7
3	63	8
3	63	9
3	63	10
3	63	11
3	63	12
4	0	5
4	0	6
4	0	7
4	0	8
4	0	9
4	0	10
4	0	11
4	0	12
4	0	13
4	1	5
4	1	6
4	1	7
4	1	8
4	1	9
4	1	10
4	1	11
4	1	12
4	1	13
4	2	5
4	2	6
4	2	7
4	2	8
4	2	9
4	2	10
4	2	11
4	2	12
4	3	3
4	3	4
4	3	5
4	3	6
4	3	7
4	3	8
4	3	9
4	3	10
4	3	11
4	4	3
4	4	4
4	4	5
4	4	6
4	4	7
4	4	8
4	4	9
4	4	10
4	5	4
4	5	5
4	5	7
4	5	8
4	5	9
4	57	5
4	57	6
4	57	7
4	57	8
4	57	9
4	57	10
4	58	5
4	58	6
4	58	7
4	58	8
4	58	9
4	58	10
4	58	11
4	59	5
4	59	6
4	59	7
4	59	8
4	59	9
4	59	10
4	59	11
4	59	12
4	59	13
4	60	5
4	60	6
4	60	7
4	60	8
4	60	9
4	60	10
4	60	11
4	61	6
4	61	7
4	61	8
4	61	9
4	61	10
4	61	11
4	62	6
4	62	7
4	62	8
4	62	9
4	62	10
4	62	11
4	63	5
4	63	6
4	63	7
4	63	8
4	63	9
4	63	10
4	63	11
5	0	4
5	0	5
5	0	6
5	0	7
5	0	8
5	0	9
5	0	10
5	0	11
5	0	12
5	0	13
5	0	14
5	1	4
5	1	5
5	1	6
5	1	7
5	1	8
5	1	9
5	1	10
5	1	11
5	1	12
5	1	13
5	1	14
5	1	15
5	2	4
5	2	5
5	2	6
5	2	7
5	2	8
5	2	9
5	2	10
5	2	11
5	2	12
5	2	13
5	3	3
5	3	4
5	3	5
5	3	6
5	3	7
5	3	8
5	3	9
5	3	10
5	3	11
5	3	12
5	4	3
5	4	4
5	4	5
5	4	6
5	4	7
5	4	8
5	4	9
5	4	10
5	4	11
5	5	4
5	5	5
5	5	6
5	5	7
5	5	8
5	5	9
5	5	10
5	5	11
5	6	5
5	6	6
5	6	7
5	6	8
5	6	9
5	6	10
5	55	10
5	56	9
5	56	10
5	56	11
5	57	7
5	57	8
5	57	9
5	57	10
5	57	11
5	57	12
5	57	16
5	57	17
5	57	18
5	58	6
5	58	7
5	58	8
5	58	9
5	58	10
5	58	11
5	58	12
5	58	13
5	58	14
5	58	15
5	58	16
5	58	17
5	58	18
5	59	6
5	59	7
5	59	8
5	59	9
5	59	10
5	59	11
5	59	12
5	59	13
5	59	14
5	59	15
5	59	17
5	60	6
5	60	7
5	60	8
5	60	9
5	60	10
5	60	11
5	60	12
5	60	13
5	60	14
5	61	6
5	61	7
5	61	8
5	61	9
5	61	10
5	61	11
5	61	12
5	62	6
5	62	7
5	62	8
5	62	9
5	62	10
5	62	11
5	62	12
5	63	4
5	63	5
5	63	6
5	63	7
5	63	8
5	63	9
5	63	10
5	63	11
5	63	12
6	0	4
6	0	5
6	0	6
6	0	7
6	0	8
6	0	9
6	0	10
6	0	11
6	0	12
6	0	13
6	0	14
6	1	4
6	1	5
6	1	6
6	1	7
6	1	8
6	1	9
6	1	10
6	1	11
6	1	12
6	1	13
6	1	14
6	1	15
6	2	4
6	2	5
6	2	6
6	2	7
6	2	8
6	2	9
6	2	10
6	2	11
6	2	12
6	2	13
6	2	14
6	3	3
6	3	4
6	3	5
6	3	6
6	3	7
6	3	8
6	3	9
6	3	10
6	3	11
6	3	12
6	3	13
6	4	3
6	4	4
6	4	5
6	4	6
6	4	7
6	4	8
6	4	9
6	4	10
6	4	11
6	4	12
6	4	13
6	5	4
6	5	5
6	5	6
6	5	7
6	5	8
6	5	9
6	5	10
6	5	11
6	5	12
6	6	4
6	6	5
6	6	6
6	6	7
6	6	8
6	6	9
6	6	10
6	6	11
6	7	5
6	7	6
6	7	7
6	7	8
6	7	9
6	7	10
6	8	8
6	8	9
6	8	10
6	55	10
6	55	11
6	55	12
6	56	9
6	56	10
6	56	11
6	56	12
6	56	13
6	56	14
6	57	8
6	57	9
6	57	10
6	57	11
6	57	12
6	57	13
6	57	14
6	57	15
6	57	16
6	57	17
6	58	7
6	58	8
6	58	9
6	58	10
6	58	11
6	58	12
6	58	13
6	58	14
6	58	15
6	58	16
6	59	6
6	59	7
6	59	8
6	59	9
6	59	10
6	59	11
6	59	12
6	59	13
6	59	14
6	59	15
6	60	6
6	60	7
6	60	8
6	60	9
6	60	10
6	60	11
6	60	12
6	60	13
6	60	14
6	61	6
6	61	7
6	61	8
6	61	9
6	61	10
6	61	11
6	61	12
6	61	13
6	62	5
6	62	6
6	62	7
6	62	8
6	62	9
6	62	10
6	62	11
6	62	12
6	62	13
6	63	4
6	63	5
6	63	6
6	63	7
6	63	8
6	63	9
6	63	10
6	63	11
6	63	12
6	63	13
7	0	3
7	0	4
7	0	5
7	0	6
7	0	7
7	0	8
7	0	9
7	0	10
7	0	11
7	0	12
7	0	13
7	0	14
7	1	3
7	1	4
7	1	5
7	1	6
7	1	7
7	1	8
7	1	9
7	1	10
7	1	11
7	1	12
7	1	13
7	1	14
7	1	15
7	1	17
7	2	3
7	2	4
7	2	5
7	2	6
7	2	7
7	2	8
7	2	9
7	2	10
7	2	11
7	2	12
7	2	13
7	2	14
7	2	15
7	2	16
7	3	3
7	3	4
7	3	5
7	3	6
7	3	7
7	3	8
7	3	9
7	3	10
7	3	11
7	3	12
7	3	13
7	3	14
7	3	15
7	4	4
7	4	5
7	4	6
7	4	7
7	4	8
7	4	9
7	4	10
7	4	11
7	4	12
7	4	13
7	4	14
7	5	4
7	5	5
7	5	6
7	5	7
7	5	8
7	5	9
7	5	10
7	5	11
7	5	12
7	5	13
7	6	5
7	6	6
7	6	7
7	6	8
7	6	9
7	6	10
7	6	11
7	6	12
7	7	5
7	7	6
7	7	7
7	7	8
7	7	9
7	7	10
7	7	11
7	7	12
7	8	7
7	8	8
7	8	9
7	8	10
7	8	11
7	9	8
7	9	9
7	9	10
7	55	10
7	55	11
7	56	9
7	56	10
7	56	11
7	56	12
7	57	9
7	57	10
7	57	11
7	57	12
7	57	13
7	58	8
7	58	9
7	58	10
7	58	11
7	58	12
7	58	13
7	58	14
7	59	7
7	59	8
7	59	9
7	59	10
7	59	11
7	59	12
7	59	13
7	59	14
7	60	7
7	60	8
7	60	9
7	60	10
7	60	11
7	60	12
7	60	13
7	60	14
7	61	6
7	61	7
7	61	8
7	61	9
7	61	10
7	61	11
7	61	12
7	61	13
7	62	5
7	62	6
7	62	7
7	62	8
7	62	9
7	62	10
