#i	j	k
31	50	33
31	50	34
31	50	35
31	50	36
31	50	37
31	50	41
31	50	42
31	50	43
31	50	44
31	50	45
31	51	32
31	51	33
31	51	34
31	51	35
31	51	36
31	51	37
31	51	38
31	51	39
31	51	40
31	51	41
31	51	42
31	51	43
31	51	44
31	51	45
31	52	33
31	52	34
31	52	35
31	52	36
31	52	37
31	52	38
31	52	39
31	52	40
31	52	41
31	52	42
31	52	43
31	52	44
31	53	33
31	53	34
31	53	35
31	53	36
31	53	37
31	53	38
31	53	39
31	53	40
31	53	41
31	53	42
31	53	43
31	54	33
31	54	34
31	54	35
31	54	36
31	54	39
31	54	40
31	54	41
31	55	34
31	55	35
31	55	36
31	55	40
31	56	34
31	56	35
31	56	36
31	57	35
32	48	35
32	49	32
32	49	33
32	49	34
32	49	35
32	49	36
32	50	31
32	50	32
32	50	33
32	50	34
32	50	35
32	50	36
32	50	37
32	50	38
32	50	40
32	50	41
32	50	42
32	50	43
32	50	44
32	50	45
32	51	29
32	51	30
32	51	31
32	51	32
32	51	33
32	51	34
32	51	35
32	51	36
32	51	37
32	51	38
32	51	39
32	51	40
32	51	41
32	51	42
32	51	43
32	51	44
32	51	45
32	52	32
32	52	33
32	52	34
32	52	35
32	52	36
32	52	37
32	52	38
32	52	39
32	52	40
32	52	41
32	52	42
32	52	43
32	52	44
32	53	33
32	53	34
32	53	35
32	53	36
32	53	37
32	53	38
32	53	39
32	53	40
32	53	41
32	53	42
32	53	43
32	54	33
32	54	34
32	54	35
32	54	36
32	54	37
32	54	38
32	54	39
32	54	40
32	54	41
32	54	42
32	55	34
32	55	35
32	55	36
32	55	37
32	55	38
32	55	39
32	55	40
32	55	41
32	56	34
32	56	35
32	56	36
32	56	37
32	57	34
32	57	35
32	57	36
32	58	35
32	58	36
33	48	34
33	48	35
33	48	36
33	49	31
33	49	32
33	49	33
33	49	34
33	49	35
33	49	36
33	49	37
33	49	43
33	49	44
33	49	45
33	50	30
33	50	31
33	50	32
33	50	33
33	50	34
33	50	35
33	50	36
33	50	37
33	50	38
33	50	40
33	50	41
33	50	42
33	50	43
33	50	44
33	50	45
33	51	29
33	51	30
33	51	31
33	51	32
33	51	33
33	51	34
33	51	35
33	51	36
33	51	37
33	51	38
33	51	39
33	51	40
33	51	41
33	51	42
33	51	43
33	51	44
33	51	45
33	52	30
33	52	31
33	52	32
33	52	33
33	52	34
33	52	35
33	52	36
33	52	37
33	52	38
33	52	39
33	52	40
33	52	41
33	52	42
33	52	43
33	52	44
33	52	45
33	53	32
33	53	33
33	53	34
33	53	35
33	53	36
33	53	37
33	53	38
33	53	39
33	53	40
33	53	41
33	53	42
33	53	43
33	53	44
33	54	33
33	54	34
33	54	35
33	54	36
33	54	37
33	54	38
33	54	39
33	54	40
33	54	41
33	54	42
33	54	43
33	55	33
33	55	34
33	55	35
33	55	36
33	55	37
33	55	38
33	55	39
33	55	40
33	55	41
33	56	33
33	56	34
33	56	35
33	56	36
33	56	37
33	56	38
33	57	34
33	57	35
33	57	36
33	57	37
33	58	35
33	58	36
34	48	32
34	48	33
34	48	34
34	48	35
34	48	36
34	48	37
34	48	44
34	48	45
34	49	31
34	49	32
34	49	33
34	49	34
34	49	35
34	49	36
34	49	37
34	49	38
34	49	43
34	49	44
34	49	45
34	50	30
34	50	31
34	50	32
34	50	33
34	50	34
34	50	35
34	50	36
34	50	37
34	50	38
34	50	39
34	50	40
34	50	41
34	50	42
34	50	43
34	50	44
34	50	45
34	50	46
34	51	29
34	51	30
34	51	31
34	51	32
34	51	33
34	51	34
34	51	35
34	51	36
34	51	37
34	51	38
34	51	39
34	51	40
34	51	41
34	51	42
34	51	43
34	51	44
34	51	45
34	52	30
34	52	31
34	52	32
34	52	33
34	52	34
34	52	35
34	52	36
34	52	37
34	52	38
34	52	39
34	52	40
34	52	41
34	52	42
34	52	43
34	52	44
34	52	45
34	53	31
34	53	32
34	53	33
34	53	34
34	53	35
34	53	36
34	53	37
34	53	38
34	53	39
34	53	40
34	53	41
34	53	42
34	53	43
34	53	44
34	54	32
34	54	33
34	54	34
34	54	35
34	54	36
34	54	37
34	54	38
34	54	39
34	54	40
34	54	41
34	54	42
34	54	43
34	55	32
34	55	33
34	55	34
34	55	35
34	55	36
34	55	37
34	55	38
34	55	39
34	55	40
34	55	41
34	55	42
34	56	33
34	56	34
34	56	35
34	56	36
34	56	37
34	57	34
34	57	35
34	57	36
34	58	35
34	58	36
35	48	44
35	48	45
35	49	33
35	49	34
35	49	35
35	49	36
35	49	37
35	49	38
35	49	43
35	49	44
35	49	45
35	49	46
35	50	32
35	50	33
35	50	34
35	50	35
35	50	36
35	50	37
35	50	38
35	50	41
35	50	42
35	50	43
35	50	44
35	50	45
35	50	46
35	51	29
35	51	30
35	51	31
35	51	32
35	51	33
35	51	34
35	51	35
35	51	36
35	51	37
35	51	38
35	51	40
35	51	41
35	51	42
35	51	43
35	51	44
35	51	45
35	51	46
35	52	30
35	52	31
35	52	32
35	52	33
35	52	34
35	52	35
35	52	36
35	52	37
35	52	38
35	52	40
35	52	41
35	52	42
35	52	43
35	52	44
35	52	45
35	53	31
35	53	32
35	53	33
35	53	34
35	53	35
35	53	36
35	53	37
35	53	38
35	53	39
35	53	40
35	53	41
35	53	42
35	53	43
35	53	44
35	53	45
35	54	32
35	54	33
35	54	34
35	54	35
35	54	36
35	54	37
35	54	38
35	54	39
35	54	40
35	54	41
35	54	42
35	54	43
35	54	44
35	55	32
35	55	33
35	55	34
35	55	35
35	55	36
35	55	37
35	55	38
35	55	39
35	55	41
35	55	42
35	55	43
35	56	33
35	56	34
35	56	35
35	56	36
35	56	37
35	57	34
35	57	35
35	57	36
36	49	42
36	49	43
36	49	44
36	49	45
36	49	46
36	50	34
36	50	35
36	50	36
36	50	37
36	50	41
36	50	42
36	50	43
36	50	44
36	50	45
36	50	46
36	51	34
36	51	35
36	51	36
36	51	37
36	51	40
36	51	41
36	51	42
36	51	43
36	51	44
36	51	45
36	51	46
36	52	30
36	52	31
36	52	32
36	52	33
36	52	34
36	52	35
36	52	36
36	52	37
36	52	38
36	52	40
36	52	41
36	52	42
36	52	43
36	52	44
36	52	45
36	52	46
36	53	31
36	53	32
36	53	33
36	53	34
36	53	35
36	53	36
36	53	37
36	53	38
36	53	39
36	53	40
36	53	41
36	53	42
36	53	43
36	53	44
36	53	45
36	54	32
36	54	33
36	54	34
36	54	35
36	54	36
36	54	37
36	54	38
36	54	39
36	54	40
36	54	41
36	54	42
36	54	43
36	54	44
36	55	32
36	55	33
36	55	34
36	55	35
36	55	36
36	55	37
36	55	38
36	55	42
36	55	43
36	56	33
36	56	34
36	56	35
36	56	36
36	56	37
36	57	34
36	57	35
37	50	42
37	50	43
37	51	42
37	51	43
37	51	44
37	51	45
37	52	37
37	52	41
37	52	42
37	52	43
37	52	44
37	52	45
37	53	31
37	53	32
37	53	33
37	53	34
37	53	35
37	53	36
37	53	37
37	53	38
37	53	42
37	53	43
37	54	32
37	54	33
37	54	34
37	54	35
37	54	36
37	54	37
37	55	32
37	55	33
37	55	34
37	55	35
37	55	36
37	55	37
37	56	33
37	56	34
37	56	35
37	56	36
38	54	36
